6.0,4,True
244,168,72,255
252,52,40,219
252,56,72,77
236,208,212,1
196,28,20,255
252,0,4,255
236,200,24,255
232,120,0,255
240,148,40,255
252,244,88,64
216,76,84,128
244,80,68,94
252,180,36,255
252,184,92,255
236,160,80,255
244,108,96,51
252,128,8,255
196,156,160,3
248,224,0,232
244,56,12,255
172,96,104,32
240,80,64,27
248,136,56,255
168,68,28,128
252,124,60,255
212,120,84,36
196,84,56,128
224,144,20,255
240,212,212,13
232,68,68,64
252,20,36,8
212,32,44,64
252,248,152,36
240,128,80,255
152,76,72,43
212,116,108,102
248,64,64,170
208,36,16,255
252,200,116,8
248,24,4,255
188,60,0,255
244,112,24,255
188,56,68,51
236,184,164,0
168,52,60,73
252,240,40,170
228,68,24,255
216,104,116,85
224,44,16,255
228,184,164,0
248,152,16,255
248,148,112,64
240,140,44,255
168,88,80,64
212,40,4,255
244,140,8,255
208,96,96,128
252,88,88,34
252,92,40,255
200,152,160,3
160,24,16,64
240,200,52,255
232,84,80,170
228,52,52,36
252,140,76,255
252,240,16,128
248,80,8,255
236,60,68,64
192,104,100,51
248,36,20,255
232,60,24,255
172,24,12,170
232,108,96,64
248,252,48,64
196,76,0,255
252,140,124,36
232,112,36,255
216,168,24,255
232,140,128,128
232,136,32,255
184,60,8,255
252,164,116,102
248,164,8,255
144,24,12,128
200,156,148,2
248,160,152,128
244,196,60,170
248,72,48,170
240,44,8,255
224,84,0,255
252,144,144,57
236,76,24,255
252,108,112,128
208,164,80,128
236,120,36,255
244,172,68,255
252,56,44,219
240,192,172,1
216,16,16,255
168,20,28,23
196,16,16,255
252,4,8,255
220,176,176,2
208,168,168,2
192,40,8,255
204,180,132,9
248,8,16,255
204,108,80,85
216,72,88,32
176,108,104,16
168,80,84,64
232,40,32,255
204,64,44,170
252,184,32,213
224,48,52,64
188,44,20,255
216,184,112,17
252,132,4,255
224,188,88,128
200,140,140,6
240,116,24,255
252,136,96,8
192,100,88,128
216,88,88,51
204,20,16,255
228,140,80,255
228,128,48,255
224,96,24,255
228,40,20,255
252,96,56,255
200,48,48,109
244,188,28,128
220,84,80,128
224,56,12,255
224,84,80,128
232,76,0,255
220,96,92,128
236,60,76,36
252,248,252,0
232,96,36,255
244,156,16,255
156,60,44,85
248,60,68,153
248,224,80,153
248,20,0,255
252,104,96,20
220,128,76,255
172,40,24,170
252,152,52,255
248,232,228,6
192,44,24,255
244,220,8,255
224,188,44,255
248,188,72,255
184,44,36,73
244,220,220,29
212,140,132,14
208,96,104,128
224,112,48,255
240,60,56,102
252,116,0,255
200,44,52,96
244,128,12,255
252,92,68,104
252,64,44,206
156,28,36,15
228,96,20,255
252,44,72,5
244,120,76,255
236,52,52,113
240,188,44,255
252,244,28,159
248,92,60,255
252,192,16,235
248,32,40,135
232,56,20,255
232,116,0,255
252,172,84,255
152,60,60,85
248,212,208,16
204,32,0,255
228,132,80,255
188,108,108,102
240,68,20,255
252,184,108,146
244,48,20,255
224,132,12,255
208,80,68,64
